"date","acn_volume","adbe_volume","amd_volume","crm_volume","ibm_volume","intc_volume","intu_volume","nflx_volume","sony_volume","txn_volume"
"2013-09-30","5534400","2747000","16556900","5051500","4161197","32489600","2933400","12528600","1259900","5521700"
"2013-10-01","2529400","3243300","26056400","3753300","2804535","25888800","2095700","29693300","897000","3942000"
"2013-10-02","2512100","3691200","18583300","3207700","3783487","23205400","1647900","30583700","1407200","4255100"
"2013-10-03","2760900","3862200","25498500","3089100","3359543","34888500","3682100","24613400","2193700","5899200"
"2013-10-04","2241300","3880900","17134400","3600800","2995326","22550000","2365700","16814000","760900","6539300"
"2013-10-07","2966300","2582700","16734000","2974800","4148854","21321300","2263100","14634900","2600200","5850700"
"2013-10-08","5089300","4953800","35910400","5746200","5834902","36111200","2216500","28678300","2869100","6427000"
"2013-10-09","5006100","4347300","36053700","4749700","4626981","40435400","2119200","41948900","2171600","6859200"
"2013-10-10","3247200","3740900","24019400","4789800","3827209","39189400","2104900","30695000","4611200","6383900"
"2013-10-11","2747800","3410500","17384600","2614300","3381300","24550600","2047700","19200300","2929300","4500100"
"2013-10-14","1734000","4910000","63648400","3866500","2785603","27176700","2009000","45659600","1595500","6080400"
"2013-10-15","2267800","3658800","52027500","3661500","3519895","42957700","2227800","26848500","2069600","6437400"
"2013-10-16","2441000","3367700","34138300","5546400","7027028","47723400","2027100","18843300","2885500","8301700"
"2013-10-17","2998300","3776600","45838000","3001700","23397869","28694900","1761600","19272400","1882700","4972800"
"2013-10-18","4100600","4210100","108913700","4548400","11033208","29579100","2554700","25454800","3431400","5724400"
"2013-10-21","3067200","3739700","68891000","4200400","7425240","35297600","1245400","65090200","2291000","9658800"
"2013-10-22","2990800","4375700","92506500","5078500","7298256","29010800","1874000","181099800","1795900","13064800"
"2013-10-23","2711500","4386800","65948000","2532500","5658232","31651100","1306100","58376500","3179700","12047600"
"2013-10-24","3761200","5717200","43033200","3193100","5787832","47590200","1996700","33559400","3713600","6663600"
"2013-10-25","2564900","6186100","43346300","2715100","5065569","59634700","1718900","24062500","1558200","7152100"
"2013-10-28","2893600","3505000","23820500","4450100","3883484","65581600","1179800","34260800","1460200","11604000"
"2013-10-29","2780700","5148300","15816500","3553400","9314212","29961700","1441500","30936500","1637700","11073600"
"2013-10-30","2835000","3482400","16208000","4280300","5516290","24091800","1467200","21640500","1799300","11278100"
"2013-10-31","2773600","3509500","18062700","3504400","4516733","30901400","1996700","18489800","11273800","9643500"
"2013-11-01","3300700","2720000","14422000","4330500","3812147","28302100","2376700","22020600","5029500","6033800"
"2013-11-04","2942700","3433600","16749400","4889200","3643532","26639800","1504800","21919100","3705500","3681600"
"2013-11-05","2834800","3616600","14003100","4262000","6377253","22849900","1712400","17289300","4161000","5350400"
"2013-11-06","4268900","3286100","15065300","4634200","4770492","25525700","1332300","20733300","2180000","4637300"
"2013-11-07","4435800","5526600","18856200","6338600","5459597","25631100","1195200","20007400","3418100","6335400"
"2013-11-08","2909400","5940900","12072000","4167400","6563650","31502900","1862400","19448800","3311900","5590100"
"2013-11-11","1778200","4221800","12981500","3391900","5462526","19236500","1302700","16815400","3304800","4291000"
"2013-11-12","4196900","2929200","20185800","6072000","4454391","37813500","1049900","12231800","4189700","4176800"
"2013-11-13","3826800","5168600","28914000","4583700","4920802","22990300","2645900","11967900","5352700","7129600"
"2013-11-14","3943500","4571300","15123200","4850200","6612289","20198900","1606200","20104700","8215000","6114500"
"2013-11-15","6371000","2909900","11570800","5295000","5414201","22866500","1832400","20152300","4034700","4231800"
"2013-11-18","3836600","3173600","13170900","15146000","5590765","24712500","1784300","20247500","5425900","4000400"
"2013-11-19","2720600","3405000","20169800","16325400","4787542","24870200","1130900","17057600","2972900","3605000"
"2013-11-20","2447600","2931300","9937400","7664600","3813507","20288600","1837900","19481700","2500400","4858800"
"2013-11-21","2201500","2461200","13646200","5691100","4664637","44050600","2354600","15989400","3632500","3826700"
"2013-11-22","2175200","2890800","11315300","3344800","7960269","77908100","4434600","14202300","3226400","5002300"
"2013-11-25","1863000","2986400","11605400","8399600","7491347","43389300","2521200","13984600","3907700","6201200"
"2013-11-26","2002800","2841000","16989300","5694000","6020776","30600800","2014700","14683200","3259100","4181000"
"2013-11-27","1755200","2134000","19876400","3770700","4807939","28419200","1445200","16832900","1772800","4764300"
"2013-11-29","1560600","965200","15448400","5635300","3002543","13802900","1377700","8388100","1561300","3756400"
"2013-12-02","2489300","1950800","24119700","4235400","4769760","25685300","2028200","11675300","2241800","4389600"
"2013-12-03","2138700","4129500","23323200","3832700","6133744","35066400","1647100","13400800","1728000","6318700"
"2013-12-04","3550500","3663500","21609700","4090700","5509700","43501500","1548700","19395600","2945500","6592500"
"2013-12-05","2197300","7792700","14465700","4855500","4586605","45399100","1424800","13793500","1454500","4486700"
"2013-12-06","3259400","3334300","15825300","4570100","4957831","53871400","1463400","12075700","1127300","4794000"
"2013-12-09","2434400","3397700","10470700","3173600","3971244","29614700","1631900","11718700","1439600","5121700"
